サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
稚内温泉 童夢,0,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
天然温泉天北の湯ドーミーイン稚内,2,4,対象：男女,96,16,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
稚内天然温泉 港のゆ,5,5,対象：男女,92,20,90,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
稚内グランドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル奥田屋,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
礼文島温泉 うすゆきの湯,3,5,対象：男女,90,18,90,12,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
利尻富士温泉,12,7,対象：男女,100,7,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
はまとんべつ温泉ウイング,0,0,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
ホテル豊富,0,1,対象：男女,-,-,91,14,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
てしお温泉夕映,1,5,対象：男女,90,20,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
ポンピラ・アクア・リズイング,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
うたのぼりグリーンパークホテル,1,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
旭温泉,4,14,対象：男女,-,-,?,?,ng,ng,ok,ok,ok,-,-,-,-,-,-,-
しょさんべつ温泉 岬の湯,2,9,対象：男女,95,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
オホーツク温泉ホテル日の出岬,1,2,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
なよろ温泉サンピラー,0,1,対象：男女,94,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
はぼろ温泉サンセットプラザ,1,4,対象：男女,95,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
紋太の湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル海晃本館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
紋別プリンスホテル,1,5,対象：男女,95,20,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
とままえ温泉ふわっと,2,4,対象：男女,80,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ななかまどの館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
道の駅 かみゆうべつ温泉チューリップの湯,1,1,対象：-,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
美し乃湯温泉,1,3,対象：男女,90,18,82,21,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
サロマ湖 鶴雅リゾート,1,2,対象：男女,80,17,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
せいわ温泉ルオント,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
知床第一ホテル,1,3,対象：男女,90,15,85,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
ゆったりかん,0,3,対象：男女,?,?,90,16,-,-,-,-,-,ng,ng,ng,ng,ok,ng,-
ドーミーイン網走,0,8,男性専用,94,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
天都の宿 網走観光ホテル,1,2,対象：男女,-,-,82,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
北天の丘 あばしり湖鶴雅リゾート,1,4,対象：-,90,17,90,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
遊湯ぴっぷ,0,2,対象：男女,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
生田原温泉 ホテル ノースキング,0,1,対象：男女,90,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,ng
ホテル山水,1,2,対象：男女,?,?,80,15,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
ほろしん温泉ほたる館,1,2,対象：男女,90,12,90,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
のんたの湯,0,1,対象：-,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
小清水温泉ふれあいセンター,2,1,対象：男女,?,?,76,16,-,-,-,-,-,ng,ng,ng,ng,ok,ng,-
サンホールはぴねす,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ヘルシーシャトー,0,2,対象：男女,90,-,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
北見湯元のつけ乃湯,3,12,対象：男女,90,14,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
高栄湯,0,0,対象：男女,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
漢方薬湯 旭川健康ランド,4,10,対象：男女,90,16,80,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
大雪乃湯,4,8,対象：男女,92,15,90,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
コナミスポーツクラブ旭川,0,4,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉神威の湯ドーミーイン旭川,3,4,対象：-,90,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
星野リゾート OMO7 旭川 (旧:旭川グランドホテル) スパ プラトー,29,26,対象：男女,82,15,48,30,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
【閉店】富士サウナ,7,3,男性専用,110,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
天然温泉みなぴりかの湯(ホテルラッソグランデ旭川内),4,24,対象：男女,90,16.5,90,17,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
サンフラワーパークホテル,1,6,対象：男女,90,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
朝陽リゾートホテル,2,1,対象：男女,-,-,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng
<公式>層雲峡温泉 層雲峡観光ホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
訓子府町役場 温泉保養センター,1,11,対象：男女,94,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
黒岳の湯,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
湯元 銀泉閣,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル大雪,3,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
森のゆ花神楽,2,5,対象：男女,90,15,85,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
旭岳温泉ホテルベアモンテ,0,1,対象：男女,90,21,90,21,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ラビスタ大雪山,0,5,対象：男女,90,17,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
湯の閣 池田屋,1,3,対象：男女,98,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
川湯第一ホテル忍冬,1,1,対象：男女,?,?,90,15,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
おけと勝山温泉ゆうゆ,1,3,対象：男女,90,17,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,-
赤平市 保養センターエルム高原温泉・ゆったり,0,5,対象：男女,96,17,-,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
浜益保養センター(浜益温泉),2,4,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ホテル モアン,0,1,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
トーヨーグランドホテル/TOYO GRAND HOTEL,0,2,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ランプの宿森つべつ,3,3,対象：男女,80,20,75,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
ホテルマルエー温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
【一時休業】スターライトホテル,1,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
芦別温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
チロルの湯,2,7,対象：男女,90,17,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
上野サウナ&カプセルホテル北欧,823,2754,男性専用,106,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
ホテルパークヒルズ,4,3,対象：男女,-,8.3,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
森の旅亭びえい,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
大雪山白金観光ホテル,1,0,対象：男女,90,15,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
パンケの湯,0,1,対象：男女,90,11,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
フロンティア フラヌイ温泉,3,8,対象：男女,86,16,100,16,ng,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok
あかん遊久の里 鶴雅,2,4,対象：男女,80,20,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
阿寒の森鶴雅リゾート花ゆう香,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
阿寒湖畔温泉 ニュー阿寒ホテル,2,3,対象：男女,92,13,85,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
吹上温泉保養センター 白銀荘,184,66,対象：男女,80,14,80,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
カミホロ荘,3,1,対象：男女,88,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
別海町交流センター 郊楽苑,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
糠平館観光ホテル,0,1,男性専用,90,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
糠平温泉 中村屋,2,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
フラノ寶亭留,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ピパの湯 ゆ〜りん館,5,6,対象：男女,90,13,84,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
月形温泉・ゆりかご,2,2,男性専用,90,11,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
岬の湯しゃこたん,1,6,対象：男女,85,13,95,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
富良野温泉 紫彩の湯,1,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル・テレーノ 気仙,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
日本海ふるびら温泉 しおかぜ,1,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
中小屋温泉,2,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
然別湖畔温泉ホテル風水,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
北村温泉ホテル,9,13,対象：男女,90,11,90,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
石狩天然温泉 番屋の湯,8,13,対象：男女,94,16,90,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
グリーンパークつるい,0,1,対象：-,88,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
しんしのつ温泉 たっぷの湯,0,6,対象：男女,80,15,90,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
松乃湯 (湯処 松の湯),1,1,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉灯の湯ドーミーインPREMIUM小樽,0,7,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
余市川温泉 うちゅうの湯,0,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ふとみ銘泉 万葉の湯,4,19,対象：男女,87,18,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
小樽温泉 オスパ,4,10,対象：男女,-,20,85,22,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
神仏湯温泉,1,2,対象：男女,90,17,90,17,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
ゆらら,3,8,対象：男女,90,18,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
コナミスポーツクラブ小樽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
サホロリゾート,2,8,対象：男女,100,17,100,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
くったり温泉レイク・イン,1,1,対象：男女,96,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
湯の花 朝里殿,1,5,対象：男女,85,17,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
ログ ホテル メープルロッジ,116,119,対象：男女,70,14,80,14,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok,ng
札幌あいの里温泉なごみ,1,3,対象：男女,90,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
小樽朝里クラッセホテル,1,0,男性専用,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
シーステージ小樽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
しほろ温泉プラザ緑風,0,19,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
あしべ(ACB)屯田店,4,4,対象：男女,95,18,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
いいゆだな稲穂店,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
極楽湯 さっぽろ手稲店,2,31,対象：男女,95,18.4,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
新琴似温泉 壱乃湯,1,19,対象：男女,90,21,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
こうしんの湯,7,40,対象：男女,90,16,80,15,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
湯屋サーモン,2,11,対象：男女,88,19.5,82,19.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
シャトレーゼ ゴルフ&スパリゾートホテル栗山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
赤井川カルデラ温泉・保養センター,2,0,対象：男女,?,?,-,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
山花温泉リフレ,0,2,対象：男女,95,-,-,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
スポーツクラブNAS札幌,0,1,対象：男女,?,?,85,20,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
笑福の湯,3,3,対象：男女,88,15,90,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
なんぽろ温泉ハート&ハート(南幌温泉),10,31,対象：男女,90,14,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
スカイリゾートスパプラウブラン,18,28,対象：男女,95,16,90,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
湯めらんど,33,116,対象：男女,75,14,80,15,ok,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
苗穂駅前 蔵ノ湯,11,39,対象：男女,90,15,83,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
京王プラザホテル札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルモントレエーデルホフ札幌 カルロビ･バリ･スパ,17,13,対象：男女,96,12,85,12,ng,ng,ng,ok,ng,ok,ng,ng,ng,ng,ng,ok
星野リゾート トマム ザ･タワー,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ロイトン札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
サンシャインスポーツクラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルパラダイスヒルズ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ドーミーインPREMIUM札幌,3,3,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ドーミーイン札幌ANNEX,3,13,対象：男女,96,20,89,20,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
スポーツクラブNAS東札幌,0,10,対象：男女,80,18,90,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
コナミスポーツクラブ 札幌円山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
SPA HOTEL SOLE(ソーレ)すすきの,6,21,男性専用,82,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
喜楽湯,80,70,対象：男女,95,20,100,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
すすきの天然温泉 スパ・サフロ,162,119,対象：男女,90,11,110,18,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
森林公園温泉 きよら,18,35,対象：男女,90,15,82,11,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
ホテルライン,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
円山温泉,1,5,対象：男女,105,16,100,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ホテルマイステイズ プレミア札幌パーク パークサイドスパ,3,22,対象：男女,94,18,82,14,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
FORESTA(フォレスタ),0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ白石,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ新札幌,0,1,対象：男女,?,?,78,18,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
湯めごこち 南郷の湯,20,39,対象：男女,88,13,81,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
北のたまゆら 厚別,0,5,対象：男女,80,20,70,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
大喜湯昭和店,8,24,対象：男女,80,16,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
コナミスポーツクラブ大谷地,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉 緑の湯,1,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
ゆうばり温泉 ユーパロの湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉 ふみぞの湯,3,42,対象：男女,92,19,85,17,ok,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
【閉店】コナミスポーツクラブ西岡,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
森のゆ,7,18,対象：-,90,15,85,15.3,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
コナミスポーツクラブもいわ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
栄湯,9,42,対象：-,95,16,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,ng
アパホテル&リゾート〈札幌〉,0,4,女性専用,?,?,90,19,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
十勝川 国際ホテル筒井,0,1,対象：男女,-,-,85,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
天然温泉幣舞の湯 ラビスタ釧路川(ドーミーインチェーン),2,2,対象：男女,85,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
札幌 北広島クラッセホテル,2,17,対象：男女,92,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
鳳乃舞温泉 音更,4,13,対象：男女,90,13,80,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
定山渓ビューホテル,1,1,対象：男女,-,20,-,-,ng,ng,ng,ng,ok,ng,ng,ng,ng,ok,ok,ng
翠蝶館,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
翠山亭,0,0,男性専用,90,12,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
定山渓 鶴雅リゾートスパ 森の謌,6,4,対象：男女,-,-,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
定山渓グランドホテル瑞苑,0,2,対象：男女,95,30,80,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
定山渓温泉 湯の花,4,35,対象：男女,88,17,91,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
いわない温泉 おかえりなさい,3,1,対象：男女,88,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
竹山高原温泉,2,7,対象：男女,90,14,80,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
いわない高原ホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
うらほろ留真温泉,3,1,対象：男女,?,?,90,12,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
笹井ホテル,1,1,対象：男女,90,23,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ホリデーイン ホテル十勝川,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル大平原,1,3,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
十勝川温泉 観月苑,2,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
札内ガーデン温泉,2,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
オベリベリ温泉 水光園,7,14,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
ドーミーイン帯広,3,8,対象：男女,94,22,90,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
ローマノ福の湯,14,9,対象：男女,100,14,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
アサヒ湯,3,6,対象：男女,92,17,92,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
たぬきの里,1,5,対象：男女,94,17,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
朋の湯温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
みどりヶ丘温泉サウナホテル,1,5,男性専用,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
温泉鳳乃舞 芽室,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉 ホテル光南,2,3,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
自由ケ丘温泉,8,12,対象：-,89,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
十勝幕別温泉 グランヴィリオホテル,1,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ひまわり温泉 森の郷,1,6,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
えにわ温泉ほのか,2,19,対象：男女,90,15,75,15,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
ひだか高原荘,0,2,対象：男女,90,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
木ニセコ,1,1,対象：男女,85,12,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
ひらふ亭,0,1,対象：男女,94,19,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
ニセコ温泉郷 いこいの湯宿 いろは,1,1,対象：男女,87,18,78,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
ホテル甘露の森,0,2,対象：男女,88,-,88,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
勇舞湯,0,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ニセコ昆布温泉 鶴雅別荘 杢の抄,0,1,対象：男女,95,18,92,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
ニセコ駅前温泉 綺羅乃湯,22,16,対象：男女,80,15,90,14,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok,ok
新千歳空港温泉,66,76,対象：男女,90,19,88,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
休暇村支笏湖,1,1,対象：男女,82,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
まっかり温泉,1,2,対象：男女,90,13,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
寿都温泉ゆべつのゆ,0,1,対象：男女,?,?,90,18,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
早来カントリー倶楽部,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
こぶしの湯 あつま,1,3,男性専用,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
黒松内温泉ぶなの森,1,4,対象：男女,100,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
福祉の里温泉,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉樽前の湯ドーミーイン苫小牧,0,2,対象：男女,97,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
苫の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
きたゆざわ 森のソラニワ,0,2,対象：男女,88,17,85,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
ゆのみの湯,0,3,男性専用,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ザ・ウィンザーホテル洞爺リゾート&スパ,1,0,対象：男女,-,-,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
天然豊浦温泉しおさい,0,3,対象：男女,90,16,?,?,ng,ok,ng,ok,ng,ng,-,-,-,-,-,-
道の駅 むかわ四季の館,1,3,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
洞爺湖万世閣 ホテルレイクサイドテラス,42,32,対象：男女,90,12,85,11,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
ザレイクビューTOYA乃の風リゾート,0,0,対象：男女,83,-,90,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
洞爺観光ホテル,1,1,対象：男女,96,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
ホテルグランドトーヤ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ナウマン温泉ホテル アルコ236,5,29,対象：男女,96,14,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
